FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.59,POINT (8.292036026978 49.148334640361),76874,Brombeere,Rheinzaberner Straße,76761,Rülzheim,Entlang des Weges zwischen Schützenhaus und Sportplatz,2018-07-09 07:17:00,https://mundraub.org/node/76874
MRN_mundraub_4326_Point.60,POINT (8.290598040767 49.151180261639),76873,Mirabelle,Am Friedhof,76761,Rülzheim,Bäumen befinden sich am Rande von Parkplatz,2018-07-09 07:16:00,https://mundraub.org/node/76873
MRN_mundraub_4326_Point.61,POINT (8.278911709786 49.151306573961),100251,Schlehe,Alte Mühlgasse,76761,Rülzheim,1 große und eine kleinere Schlehe,2021-09-27 16:36:00,https://mundraub.org/node/100251
MRN_mundraub_4326_Point.62,POINT (8.3306383 49.1518051),115822,Haselnuss,Unbekannt,76771,Rülzheim,Mehrere baume,2023-07-15 16:36:00,https://mundraub.org/node/115822
MRN_mundraub_4326_Point.63,POINT (8.3144069 49.1530217),116385,Walnuss,L 552,76773,Rülzheim,2x,2023-07-29 21:36:00,https://mundraub.org/node/116385
MRN_mundraub_4326_Point.64,POINT (8.3129813 49.1566308),116118,Pflaume,L 493,76761,Rülzheim,Riesen pflaumen,2023-07-22 20:14:00,https://mundraub.org/node/116118
MRN_mundraub_4326_Point.65,POINT (8.3167401 49.1575937),117405,Kirsche,L 493,76761,Rülzheim,1x,2023-08-19 10:25:00,https://mundraub.org/node/117405
MRN_mundraub_4326_Point.66,POINT (8.3166997 49.1577208),117406,Walnuss,L 493,76761,Rülzheim,1x,2023-08-19 10:26:00,https://mundraub.org/node/117406
MRN_mundraub_4326_Point.67,POINT (8.3169353 49.1579381),117407,Apfel,L 493,76761,Rülzheim,Streuobstwiesse,2023-08-19 10:38:00,https://mundraub.org/node/117407
MRN_mundraub_4326_Point.68,POINT (8.3168281 49.157994),117408,Birne,L 493,76761,Rülzheim,1x,2023-08-19 10:41:00,https://mundraub.org/node/117408
MRN_mundraub_4326_Point.69,POINT (8.3468084 49.1596262),120709,Esskastanie,Kirchstraße,76771,Rülzheim,im Wald am Wegrand,2023-12-13 14:38:00,https://mundraub.org/node/120709
MRN_mundraub_4326_Point.70,POINT (8.3468084 49.1596262),120710,Esskastanie,Kirchstraße,76771,Rülzheim,im Wald am Wegrand,2023-12-13 14:38:00,https://mundraub.org/node/120710
MRN_mundraub_4326_Point.71,POINT (8.3157459 49.1597377),116556,Birne,L 493,76761,Rülzheim,2 kräftige baume,2023-08-01 15:51:00,https://mundraub.org/node/116556
